ID,Endpoint,Assay,Value,Unit,Standardized_Value,Peptidic_Type,Source
MC-1251,Log Pe,PAMPA,-6.081,,-6.081,Non,10.1021/acs.jmedchem.1c02090
MC-1252,Log Pe,PAMPA,-6.161,,-6.161,Non,10.1021/acs.jmedchem.1c02090
MC-1253,Log Pe,PAMPA,-6.041,,-6.041,Non,10.1021/acs.jmedchem.1c02090
MC-1254,Log Pe,PAMPA,-6.398,,-6.398,Non,10.1021/acs.jmedchem.1c02090
MC-1255,Log Pe,PAMPA,-6.092,,-6.092,Non,10.1021/acs.jmedchem.1c02090
MC-1256,Log Pe,PAMPA,-5.907,,-5.907,Non,10.1021/acs.jmedchem.1c02090
MC-1257,Log Pe,PAMPA,-6.523,,-6.523,Non,10.1021/acs.jmedchem.1c02090
MC-1258,Log Pe,PAMPA,-6.745,,-6.745,Non,10.1021/acs.jmedchem.1c02090
MC-1259,Log Pe,PAMPA,-4.95,,-4.95,Non,10.1021/acs.jmedchem.1c02090
MC-1260,Log Pe,PAMPA,-5.572,,-5.572,Non,10.1021/acs.jmedchem.1c02090
MC-1261,Log Pe,PAMPA,-5.408,,-5.408,Non,10.1021/acs.jmedchem.1c02090
MC-1262,Log Pe,PAMPA,-6.678,,-6.678,Non,10.1021/acs.jmedchem.1c02090
MC-1263,Log Pe,PAMPA,-5.623,,-5.623,Non,10.1021/acs.jmedchem.1c02090
MC-1264,Log Pe,PAMPA,-6.42,,-6.42,Non,10.1021/acs.jmedchem.1c02090
MC-1265,Log Pe,PAMPA,-5.215,,-5.215,Non,10.1021/acs.jmedchem.1c02090
MC-1266,Log Pe,PAMPA,-5.215,,-5.215,Non,10.1021/acs.jmedchem.1c02090
MC-1267,Log Pe,PAMPA,-6.569,,-6.569,Non,10.1021/acs.jmedchem.1c02090
MC-1268,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-1269,Log Pe,PAMPA,-5.257,,-5.257,Non,10.1021/acs.jmedchem.1c02090
MC-1270,Log Pe,PAMPA,-5.394,,-5.394,Non,10.1021/acs.jmedchem.1c02090
MC-1271,Log Pe,PAMPA,-6.222,,-6.222,Semi,10.1021/acs.jmedchem.1c02090
MC-1272,Log Pe,PAMPA,-7.097,,-7.097,Non,10.1021/acs.jmedchem.1c02090
MC-1272,Log Pe,PAMPA,-6.658,,-6.658,Non,10.1021/acs.jmedchem.1c02090
MC-1273,Log Pe,PAMPA,-6.252,,-6.252,Non,10.1021/acs.jmedchem.1c02090
MC-1274,Log Pe,PAMPA,-7.097,,-7.097,Semi,10.1021/acs.jmedchem.1c02090
MC-1275,Log Pe,PAMPA,-6.854,,-6.854,Non,10.1021/acs.jmedchem.1c02090
MC-1275,Log Pe,PAMPA,-7.699,,-7.699,Non,10.1021/acs.jmedchem.1c02090
MC-1276,Log Pe,PAMPA,-6.523,,-6.523,Non,10.1021/acs.jmedchem.1c02090
MC-1277,Log Pe,PAMPA,-5.411,,-5.411,Non,10.1021/acs.jmedchem.1c02090
MC-1278,Log Pe,PAMPA,-6.201,,-6.201,Non,10.1021/acs.jmedchem.1c02090
MC-1278,Log Pe,PAMPA,-5.524,,-5.524,Non,10.1021/acs.jmedchem.1c02090
MC-1279,Log Pe,PAMPA,-5.292,,-5.292,Non,10.1021/acs.jmedchem.1c02090
MC-1280,Log Pe,PAMPA,-6.658,,-6.658,Non,10.1021/acs.jmedchem.1c02090
MC-1281,Log Pe,PAMPA,-5.32,,-5.32,Non,10.1021/acs.jmedchem.1c02090
MC-1282,Log Pe,PAMPA,-5.299,,-5.299,Non,10.1021/acs.jmedchem.1c02090
MC-1283,Log Pe,PAMPA,-6.745,,-6.745,Semi,10.1021/acs.jmedchem.1c02090
MC-1284,Log Pe,PAMPA,-6.77,,-6.77,Non,10.1021/acs.jmedchem.1c02090
MC-1285,Log Pe,PAMPA,-6.699,,-6.699,Non,10.1021/acs.jmedchem.1c02090
MC-1286,Log Pe,PAMPA,-7.398,,-7.398,Non,10.1021/acs.jmedchem.1c02090
MC-1287,Log Pe,PAMPA,-6.114,,-6.114,Non,10.1021/acs.jmedchem.1c02090
MC-1288,Log Pe,PAMPA,-5.389,,-5.389,Non,10.1021/acs.jmedchem.1c02090
MC-1289,Log Pe,PAMPA,-6.699,,-6.699,Non,10.1021/acs.jmedchem.1c02090
MC-1290,Log Pe,PAMPA,-5.467,,-5.467,Non,10.1021/acs.jmedchem.1c02090
MC-1291,Log Pe,PAMPA,-5.32,,-5.32,Non,10.1021/acs.jmedchem.1c02090
MC-1292,Log Pe,PAMPA,-6.854,,-6.854,Non,10.1021/acs.jmedchem.1c02090
MC-1293,Log Pe,PAMPA,-6.469,,-6.469,Semi,10.1021/acs.jmedchem.1c02090
MC-1294,Log Pe,PAMPA,-5.116,,-5.116,Non,10.1021/acs.jmedchem.1c02090
MC-1295,Log Pe,PAMPA,-5.676,,-5.676,Non,10.1021/acs.jmedchem.1c02090
MC-1296,Log Pe,PAMPA,-5.325,,-5.325,Non,10.1021/acs.jmedchem.1c02090
MC-1297,Log Pe,PAMPA,-5.564,,-5.564,Non,10.1021/acs.jmedchem.1c02090
MC-1298,Log Pe,PAMPA,-6.26,,-6.26,Non,10.1021/acs.jmedchem.1c02090
MC-1299,Log Pe,PAMPA,-5.004,,-5.004,Non,10.1021/acs.jmedchem.1c02090
MC-1300,Log Pe,PAMPA,-6.481,,-6.481,Non,10.1021/acs.jmedchem.1c02090
MC-1301,Log Pe,PAMPA,-6.319,,-6.319,Non,10.1021/acs.jmedchem.1c02090
MC-1302,Log Pe,PAMPA,-7.222,,-7.222,Non,10.1021/acs.jmedchem.1c02090
MC-1303,Log Pe,PAMPA,-5.491,,-5.491,Non,10.1021/acs.jmedchem.1c02090
MC-1304,Log Pe,PAMPA,-6.699,,-6.699,Non,10.1021/acs.jmedchem.1c02090
MC-1305,Log Pe,PAMPA,-5.453,,-5.453,Non,10.1021/acs.jmedchem.1c02090
MC-1306,Log Pe,PAMPA,-5.463,,-5.463,Non,10.1021/acs.jmedchem.1c02090
MC-1307,Log Pe,PAMPA,-6.208,,-6.208,Non,10.1021/acs.jmedchem.1c02090
MC-1308,Log Pe,PAMPA,-6.678,,-6.678,Non,10.1021/acs.jmedchem.1c02090
MC-1309,Log Pe,PAMPA,-6.013,,-6.013,Non,10.1021/acs.jmedchem.1c02090
MC-1310,Log Pe,PAMPA,-6.357,,-6.357,Non,10.1021/acs.jmedchem.1c02090
MC-1310,Log Pe,PAMPA,-5.544,,-5.544,Non,10.1021/acs.jmedchem.1c02090
MC-1311,Log Pe,PAMPA,-5.234,,-5.234,Non,10.1021/acs.jmedchem.1c02090
MC-1312,Log Pe,PAMPA,-6.921,,-6.921,Non,10.1021/acs.jmedchem.1c02090
MC-1313,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-1314,Log Pe,PAMPA,-5.382,,-5.382,Non,10.1021/acs.jmedchem.1c02090
MC-1315,Log Pe,PAMPA,-6.222,,-6.222,Non,10.1021/acs.jmedchem.1c02090
MC-1316,Log Pe,PAMPA,-6.31,,-6.31,Non,10.1021/acs.jmedchem.1c02090
MC-1317,Log Pe,PAMPA,-6.292,,-6.292,Non,10.1021/acs.jmedchem.1c02090
MC-1318,Log Pe,PAMPA,-5.754,,-5.754,Non,10.1021/acs.jmedchem.1c02090
MC-1319,Log Pe,PAMPA,-6.398,,-6.398,Non,10.1021/acs.jmedchem.1c02090
MC-1320,Log Pe,PAMPA,-5.783,,-5.783,Non,10.1021/acs.jmedchem.1c02090
MC-1321,Log Pe,PAMPA,-5.939,,-5.939,Non,10.1021/acs.jmedchem.1c02090
MC-1322,Log Pe,PAMPA,-5.496,,-5.496,Non,10.1021/acs.jmedchem.1c02090
MC-1323,Log Pe,PAMPA,-6.538,,-6.538,Non,10.1021/acs.jmedchem.1c02090
MC-1324,Log Pe,PAMPA,-6.119,,-6.119,Non,10.1021/acs.jmedchem.1c02090
MC-1325,Log Pe,PAMPA,-5.631,,-5.631,Non,10.1021/acs.jmedchem.1c02090
MC-1326,Log Pe,PAMPA,-7.301,,-7.301,Non,10.1021/acs.jmedchem.1c02090
MC-1327,Log Pe,PAMPA,-5.321,,-5.321,Non,10.1021/acs.jmedchem.1c02090
MC-1328,Log Pe,PAMPA,-5.936,,-5.936,Non,10.1021/acs.jmedchem.1c02090
MC-1329,Log Pe,PAMPA,-6.569,,-6.569,Semi,10.1021/acs.jmedchem.1c02090
MC-1330,Log Pe,PAMPA,-5.04,,-5.04,Non,10.1021/acs.jmedchem.1c02090
MC-1331,Log Pe,PAMPA,-6.854,,-6.854,Semi,10.1021/acs.jmedchem.1c02090
MC-1332,Log Pe,PAMPA,-7.699,,-7.699,Non,10.1021/acs.jmedchem.1c02090
MC-1332,Log Pe,PAMPA,-6.569,,-6.569,Non,10.1021/acs.jmedchem.1c02090
MC-1333,Log Pe,PAMPA,-5.79,,-5.79,Non,10.1021/acs.jmedchem.1c02090
MC-1334,Log Pe,PAMPA,-5.951,,-5.951,Non,10.1021/acs.jmedchem.1c02090
MC-1335,Log Pe,PAMPA,-5.174,,-5.174,Non,10.1021/acs.jmedchem.1c02090
MC-1336,Log Pe,PAMPA,-6.041,,-6.041,Non,10.1021/acs.jmedchem.1c02090
MC-1337,Log Pe,PAMPA,-5.554,,-5.554,Non,10.1021/acs.jmedchem.1c02090
MC-1338,Log Pe,PAMPA,-5.449,,-5.449,Non,10.1021/acs.jmedchem.1c02090
MC-1339,Log Pe,PAMPA,-6.553,,-6.553,Non,10.1021/acs.jmedchem.1c02090
MC-1340,Log Pe,PAMPA,-6.721,,-6.721,Non,10.1021/acs.jmedchem.1c02090
MC-1341,Log Pe,PAMPA,-6.638,,-6.638,Non,10.1021/acs.jmedchem.1c02090
MC-1342,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-1343,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-1344,Log Pe,PAMPA,-5.903,,-5.903,Non,10.1021/acs.jmedchem.1c02090
MC-1345,Log Pe,PAMPA,-6.268,,-6.268,Non,10.1021/acs.jmedchem.1c02090
MC-1346,Log Pe,PAMPA,-6.347,,-6.347,Non,10.1021/acs.jmedchem.1c02090
MC-1347,Log Pe,PAMPA,-8,,-8,Semi,10.1021/acs.jmedchem.1c02090
MC-1347,Log Pe,PAMPA,-7.222,,-7.222,Semi,10.1021/acs.jmedchem.1c02090
MC-1348,Log Pe,PAMPA,-5.777,,-5.777,Non,10.1021/acs.jmedchem.1c02090
MC-1349,Log Pe,PAMPA,-6.602,,-6.602,Non,10.1021/acs.jmedchem.1c02090
MC-1349,Log Pe,PAMPA,-6.886,,-6.886,Non,10.1021/acs.jmedchem.1c02090
MC-1350,Log Pe,PAMPA,-5.287,,-5.287,Non,10.1021/acs.jmedchem.1c02090
MC-1351,Log Pe,PAMPA,-5.156,,-5.156,Non,10.1021/acs.jmedchem.1c02090
MC-1352,Log Pe,PAMPA,-6.77,,-6.77,Non,10.1021/acs.jmedchem.1c02090
MC-1353,Log Pe,PAMPA,-5.292,,-5.292,Non,10.1021/acs.jmedchem.1c02090
MC-1354,Log Pe,PAMPA,-5.721,,-5.721,Non,10.1021/acs.jmedchem.1c02090
MC-1354,Log Pe,PAMPA,-5.848,,-5.848,Non,10.1021/acs.jmedchem.1c02090
MC-1355,Log Pe,PAMPA,-5.391,,-5.391,Non,10.1021/acs.jmedchem.1c02090
MC-1356,Log Pe,PAMPA,-5.189,,-5.189,Non,10.1021/acs.jmedchem.1c02090
MC-1357,Log Pe,PAMPA,-7,,-7,Non,10.1021/acs.jmedchem.1c02090
MC-1358,Log Pe,PAMPA,-5.32,,-5.32,Non,10.1021/acs.jmedchem.1c02090
MC-1359,Log Pe,PAMPA,-5.889,,-5.889,Non,10.1021/acs.jmedchem.1c02090
MC-1360,Log Pe,PAMPA,-5.478,,-5.478,Non,10.1021/acs.jmedchem.1c02090
MC-1361,Log Pe,PAMPA,-6.921,,-6.921,Non,10.1021/acs.jmedchem.1c02090
MC-1362,Log Pe,PAMPA,-5.342,,-5.342,Non,10.1021/acs.jmedchem.1c02090
MC-1363,Log Pe,PAMPA,-6.523,,-6.523,Non,10.1021/acs.jmedchem.1c02090
MC-1364,Log Pe,PAMPA,-5.365,,-5.365,Non,10.1021/acs.jmedchem.1c02090
MC-1365,Log Pe,PAMPA,-5.5,,-5.5,Non,10.1021/acs.jmedchem.1c02090
MC-1366,Log Pe,PAMPA,-5.199,,-5.199,Non,10.1021/acs.jmedchem.1c02090
MC-1367,Log Pe,PAMPA,-5.724,,-5.724,Non,10.1021/acs.jmedchem.1c02090
MC-1368,Log Pe,PAMPA,-5.112,,-5.112,Non,10.1021/acs.jmedchem.1c02090
MC-1369,Log Pe,PAMPA,-5.635,,-5.635,Non,10.1021/acs.jmedchem.1c02090
MC-1370,Log Pe,PAMPA,-5.863,,-5.863,Non,10.1021/acs.jmedchem.1c02090
MC-1371,Log Pe,PAMPA,-6.553,,-6.553,Non,10.1021/acs.jmedchem.1c02090
MC-1371,Log Pe,PAMPA,-6.367,,-6.367,Non,10.1021/acs.jmedchem.1c02090
MC-1372,Log Pe,PAMPA,-6.367,,-6.367,Non,10.1021/acs.jmedchem.1c02090
MC-1373,Log Pe,PAMPA,-5.357,,-5.357,Non,10.1021/acs.jmedchem.1c02090
MC-1374,Log Pe,PAMPA,-5.489,,-5.489,Non,10.1021/acs.jmedchem.1c02090
MC-1375,Log Pe,PAMPA,-5.131,,-5.131,Non,10.1021/acs.jmedchem.1c02090
MC-1376,Log Pe,PAMPA,-6.31,,-6.31,Semi,10.1021/acs.jmedchem.1c02090
MC-1376,Log Pe,PAMPA,-6.921,,-6.921,Semi,10.1021/acs.jmedchem.1c02090
MC-1377,Log Pe,PAMPA,-6.824,,-6.824,Semi,10.1021/acs.jmedchem.1c02090
MC-1378,Log Pe,PAMPA,-6.854,,-6.854,Non,10.1021/acs.jmedchem.1c02090
MC-1379,Log Pe,PAMPA,-5.662,,-5.662,Non,10.1021/acs.jmedchem.1c02090
MC-1380,Log Pe,PAMPA,-5.138,,-5.138,Non,10.1021/acs.jmedchem.1c02090
MC-1381,Log Pe,PAMPA,-6.252,,-6.252,Non,10.1021/acs.jmedchem.1c02090
MC-1381,Log Pe,PAMPA,-5.378,,-5.378,Non,10.1021/acs.jmedchem.1c02090
MC-1382,Log Pe,PAMPA,-6.602,,-6.602,Non,10.1021/acs.jmedchem.1c02090
MC-1383,Log Pe,PAMPA,-6.328,,-6.328,Non,10.1021/acs.jmedchem.1c02090
MC-1384,Log Pe,PAMPA,-6.456,,-6.456,Non,10.1021/acs.jmedchem.1c02090
MC-1385,Log Pe,PAMPA,-5.399,,-5.399,Non,10.1021/acs.jmedchem.1c02090
MC-1386,Log Pe,PAMPA,-6.658,,-6.658,Non,10.1021/acs.jmedchem.1c02090
MC-1386,Log Pe,PAMPA,-6.081,,-6.081,Non,10.1021/acs.jmedchem.1c02090
MC-1387,Log Pe,PAMPA,-5.616,,-5.616,Non,10.1021/acs.jmedchem.1c02090
MC-1388,Log Pe,PAMPA,-6.222,,-6.222,Non,10.1021/acs.jmedchem.1c02090
MC-1389,Log Pe,PAMPA,-5.156,,-5.156,Non,10.1021/acs.jmedchem.1c02090
MC-1390,Log Pe,PAMPA,-5.114,,-5.114,Non,10.1021/acs.jmedchem.1c02090
MC-1391,Log Pe,PAMPA,-5.447,,-5.447,Non,10.1021/acs.jmedchem.1c02090
MC-1392,Log Pe,PAMPA,-5.36,,-5.36,Non,10.1021/acs.jmedchem.1c02090
MC-1393,Log Pe,PAMPA,-7.699,,-7.699,Non,10.1021/acs.jmedchem.1c02090
MC-1394,Log Pe,PAMPA,-5.578,,-5.578,Non,10.1021/acs.jmedchem.1c02090
MC-1395,Log Pe,PAMPA,-6.538,,-6.538,Semi,10.1021/acs.jmedchem.1c02090
MC-1396,Log Pe,PAMPA,-5.593,,-5.593,Non,10.1021/acs.jmedchem.1c02090
MC-1397,Log Pe,PAMPA,-5.149,,-5.149,Non,10.1021/acs.jmedchem.1c02090
MC-1398,Log Pe,PAMPA,-5.708,,-5.708,Non,10.1021/acs.jmedchem.1c02090
MC-1398,Log Pe,PAMPA,-6.009,,-6.009,Non,10.1021/acs.jmedchem.1c02090
MC-1399,Log Pe,PAMPA,-6.824,,-6.824,Non,10.1021/acs.jmedchem.1c02090
MC-1400,Log Pe,PAMPA,-5.699,,-5.699,Non,10.1021/acs.jmedchem.1c02090
MC-1401,Log Pe,PAMPA,-6,,-6,Non,10.1021/acs.jmedchem.1c02090
MC-1402,Log Pe,PAMPA,-5.866,,-5.866,Non,10.1021/acs.jmedchem.1c02090
MC-1403,Log Pe,PAMPA,-5.644,,-5.644,Non,10.1021/acs.jmedchem.1c02090
MC-1404,Log Pe,PAMPA,-6.155,,-6.155,Semi,10.1021/acs.jmedchem.1c02090
MC-1405,Log Pe,PAMPA,-5.357,,-5.357,Non,10.1021/acs.jmedchem.1c02090
MC-1406,Log Pe,PAMPA,-5.812,,-5.812,Non,10.1021/acs.jmedchem.1c02090
MC-1407,Log Pe,PAMPA,-6.77,,-6.77,Non,10.1021/acs.jmedchem.1c02090
MC-1407,Log Pe,PAMPA,-6.456,,-6.456,Non,10.1021/acs.jmedchem.1c02090
MC-1408,Log Pe,PAMPA,-6.328,,-6.328,Non,10.1021/acs.jmedchem.1c02090
MC-1409,Log Pe,PAMPA,-5.529,,-5.529,Non,10.1021/acs.jmedchem.1c02090
MC-1410,Log Pe,PAMPA,-5.592,,-5.592,Non,10.1021/acs.jmedchem.1c02090
MC-1411,Log Pe,PAMPA,-6.602,,-6.602,Semi,10.1021/acs.jmedchem.1c02090
MC-1412,Log Pe,PAMPA,-6.201,,-6.201,Non,10.1021/acs.jmedchem.1c02090
MC-1412,Log Pe,PAMPA,-5.275,,-5.275,Non,10.1021/acs.jmedchem.1c02090
MC-1413,Log Pe,PAMPA,-5.084,,-5.084,Non,10.1021/acs.jmedchem.1c02090
MC-1414,Log Pe,PAMPA,-5.249,,-5.249,Non,10.1021/acs.jmedchem.1c02090
MC-1415,Log Pe,PAMPA,-6.699,,-6.699,Non,10.1021/acs.jmedchem.1c02090
MC-1415,Log Pe,PAMPA,-6.721,,-6.721,Non,10.1021/acs.jmedchem.1c02090
MC-1416,Log Pe,PAMPA,-6.125,,-6.125,Non,10.1021/acs.jmedchem.1c02090
MC-1417,Log Pe,PAMPA,-6.237,,-6.237,Non,10.1021/acs.jmedchem.1c02090
MC-1418,Log Pe,PAMPA,-6.167,,-6.167,Non,10.1021/acs.jmedchem.1c02090
MC-1419,Log Pe,PAMPA,-5.394,,-5.394,Non,10.1021/acs.jmedchem.1c02090
MC-1420,Log Pe,PAMPA,-5.75,,-5.75,Non,10.1021/acs.jmedchem.1c02090
MC-1421,Log Pe,PAMPA,-4.986,,-4.986,Non,10.1021/acs.jmedchem.1c02090
MC-1422,Log Pe,PAMPA,-6.495,,-6.495,Non,10.1021/acs.jmedchem.1c02090
MC-1423,Log Pe,PAMPA,-7.523,,-7.523,Semi,10.1021/acs.jmedchem.1c02090
MC-1424,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-1425,Log Pe,PAMPA,-5.215,,-5.215,Non,10.1021/acs.jmedchem.1c02090
MC-1426,Log Pe,PAMPA,-5.365,,-5.365,Non,10.1021/acs.jmedchem.1c02090
MC-1427,Log Pe,PAMPA,-7.222,,-7.222,Non,10.1021/acs.jmedchem.1c02090
MC-1428,Log Pe,PAMPA,-6.143,,-6.143,Non,10.1021/acs.jmedchem.1c02090
MC-1429,Log Pe,PAMPA,-6.62,,-6.62,Semi,10.1021/acs.jmedchem.1c02090
MC-1430,Log Pe,PAMPA,-5.77,,-5.77,Non,10.1021/acs.jmedchem.1c02090
MC-1431,Log Pe,PAMPA,-5.51,,-5.51,Non,10.1021/acs.jmedchem.1c02090
MC-1432,Log Pe,PAMPA,-5.633,,-5.633,Non,10.1021/acs.jmedchem.1c02090
MC-1433,Log Pe,PAMPA,-6.125,,-6.125,Non,10.1021/acs.jmedchem.1c02090
MC-1434,Log Pe,PAMPA,-6.004,,-6.004,Non,10.1021/acs.jmedchem.1c02090
MC-1435,Log Pe,PAMPA,-5.115,,-5.115,Non,10.1021/acs.jmedchem.1c02090
MC-1436,Log Pe,PAMPA,-5.171,,-5.171,Non,10.1021/acs.jmedchem.1c02090
MC-1437,Log Pe,PAMPA,-6.42,,-6.42,Non,10.1021/acs.jmedchem.1c02090
MC-1437,Log Pe,PAMPA,-6.553,,-6.553,Non,10.1021/acs.jmedchem.1c02090
MC-1438,Log Pe,PAMPA,-5.097,,-5.097,Non,10.1021/acs.jmedchem.1c02090
MC-1439,Log Pe,PAMPA,-6.523,,-6.523,Non,10.1021/acs.jmedchem.1c02090
MC-1440,Log Pe,PAMPA,-6.42,,-6.42,Non,10.1021/acs.jmedchem.1c02090
MC-1441,Log Pe,PAMPA,-5.564,,-5.564,Non,10.1021/acs.jmedchem.1c02090
MC-1442,Log Pe,PAMPA,-5.79,,-5.79,Non,10.1021/acs.jmedchem.1c02090
MC-1442,Log Pe,PAMPA,-5.971,,-5.971,Non,10.1021/acs.jmedchem.1c02090
MC-1443,Log Pe,PAMPA,-5.415,,-5.415,Non,10.1021/acs.jmedchem.1c02090
MC-1444,Log Pe,PAMPA,-5.745,,-5.745,Non,10.1021/acs.jmedchem.1c02090
MC-1445,Log Pe,PAMPA,-5.921,,-5.921,Non,10.1021/acs.jmedchem.1c02090
MC-1446,Log Pe,PAMPA,-5.714,,-5.714,Non,10.1021/acs.jmedchem.1c02090
MC-1447,Log Pe,PAMPA,-6.62,,-6.62,Non,10.1021/acs.jmedchem.1c02090
MC-1448,Log Pe,PAMPA,-6.081,,-6.081,Non,10.1021/acs.jmedchem.1c02090
MC-1449,Log Pe,PAMPA,-6.456,,-6.456,Non,10.1021/acs.jmedchem.1c02090
MC-1450,Log Pe,PAMPA,-5.159,,-5.159,Non,10.1021/acs.jmedchem.1c02090
MC-1451,Log Pe,PAMPA,-7.222,,-7.222,Semi,10.1021/acs.jmedchem.1c02090
MC-1452,Log Pe,PAMPA,-5.879,,-5.879,Non,10.1021/acs.jmedchem.1c02090
MC-1453,Log Pe,PAMPA,-5.514,,-5.514,Non,10.1021/acs.jmedchem.1c02090
MC-1454,Log Pe,PAMPA,-5.169,,-5.169,Non,10.1021/acs.jmedchem.1c02090
MC-1455,Log Pe,PAMPA,-5.339,,-5.339,Non,10.1021/acs.jmedchem.1c02090
MC-1456,Log Pe,PAMPA,-5.686,,-5.686,Non,10.1021/acs.jmedchem.1c02090
MC-1457,Log Pe,PAMPA,-6.432,,-6.432,Non,10.1021/acs.jmedchem.1c02090
MC-1458,Log Pe,PAMPA,-7.222,,-7.222,Semi,10.1021/acs.jmedchem.1c02090
MC-1459,Log Pe,PAMPA,-6.108,,-6.108,Non,10.1021/acs.jmedchem.1c02090
MC-1460,Log Pe,PAMPA,-6.959,,-6.959,Semi,10.1021/acs.jmedchem.1c02090
MC-1461,Log Pe,PAMPA,-5.706,,-5.706,Non,10.1021/acs.jmedchem.1c02090
MC-1462,Log Pe,PAMPA,-7.222,,-7.222,Semi,10.1021/acs.jmedchem.1c02090
MC-1463,Log Pe,PAMPA,-5.386,,-5.386,Non,10.1021/acs.jmedchem.1c02090
MC-1464,Log Pe,PAMPA,-7.097,,-7.097,Non,10.1021/acs.jmedchem.1c02090
MC-1465,Log Pe,PAMPA,-6.638,,-6.638,Non,10.1021/acs.jmedchem.1c02090
MC-1466,Log Pe,PAMPA,-5.327,,-5.327,Non,10.1021/acs.jmedchem.1c02090
MC-1467,Log Pe,PAMPA,-6.009,,-6.009,Non,10.1021/acs.jmedchem.1c02090
MC-1468,Log Pe,PAMPA,-6.62,,-6.62,Non,10.1021/acs.jmedchem.1c02090
MC-1469,Log Pe,PAMPA,-5.179,,-5.179,Non,10.1021/acs.jmedchem.1c02090
MC-1470,Log Pe,PAMPA,-6.721,,-6.721,Non,10.1021/acs.jmedchem.1c02090
MC-1471,Log Pe,PAMPA,-5.86,,-5.86,Non,10.1021/acs.jmedchem.1c02090
MC-1472,Log Pe,PAMPA,-6.292,,-6.292,Non,10.1021/acs.jmedchem.1c02090
MC-1473,Log Pe,PAMPA,-5.302,,-5.302,Non,10.1021/acs.jmedchem.1c02090
MC-1474,Log Pe,PAMPA,-5.21,,-5.21,Non,10.1021/acs.jmedchem.1c02090
MC-1475,Log Pe,PAMPA,-5.184,,-5.184,Non,10.1021/acs.jmedchem.1c02090
MC-1476,Log Pe,PAMPA,-6.553,,-6.553,Non,10.1021/acs.jmedchem.1c02090
MC-1477,Log Pe,PAMPA,-6.921,,-6.921,Non,10.1021/acs.jmedchem.1c02090
MC-1478,Log Pe,PAMPA,-7.097,,-7.097,Non,10.1021/acs.jmedchem.1c02090
MC-1478,Log Pe,PAMPA,-6.745,,-6.745,Non,10.1021/acs.jmedchem.1c02090
MC-1479,Log Pe,PAMPA,-5.364,,-5.364,Non,10.1021/acs.jmedchem.1c02090
MC-1480,Log Pe,PAMPA,-5.295,,-5.295,Non,10.1021/acs.jmedchem.1c02090
MC-1481,Log Pe,PAMPA,-5.654,,-5.654,Non,10.1021/acs.jmedchem.1c02090
MC-1482,Log Pe,PAMPA,-5.509,,-5.509,Non,10.1021/acs.jmedchem.1c02090
MC-1483,Log Pe,PAMPA,-5.188,,-5.188,Non,10.1021/acs.jmedchem.1c02090
MC-1484,Log Pe,PAMPA,-6.62,,-6.62,Non,10.1021/acs.jmedchem.1c02090
MC-1485,Log Pe,PAMPA,-6.097,,-6.097,Non,10.1021/acs.jmedchem.1c02090
MC-1486,Log Pe,PAMPA,-5.116,,-5.116,Non,10.1021/acs.jmedchem.1c02090
MC-1487,Log Pe,PAMPA,-6.187,,-6.187,Non,10.1021/acs.jmedchem.1c02090
MC-1487,Log Pe,PAMPA,-6.745,,-6.745,Non,10.1021/acs.jmedchem.1c02090
MC-1488,Log Pe,PAMPA,-6.585,,-6.585,Non,10.1021/acs.jmedchem.1c02090
MC-1488,Log Pe,PAMPA,-6.398,,-6.398,Non,10.1021/acs.jmedchem.1c02090
MC-1489,Log Pe,PAMPA,-5.921,,-5.921,Non,10.1021/acs.jmedchem.1c02090
MC-1490,Log Pe,PAMPA,-5.087,,-5.087,Non,10.1021/acs.jmedchem.1c02090
MC-1491,Log Pe,PAMPA,-6.824,,-6.824,Semi,10.1021/acs.jmedchem.1c02090
MC-1492,Log Pe,PAMPA,-5.65,,-5.65,Non,10.1021/acs.jmedchem.1c02090
MC-1493,Log Pe,PAMPA,-5.372,,-5.372,Non,10.1021/acs.jmedchem.1c02090
MC-1494,Log Pe,PAMPA,-6.432,,-6.432,Non,10.1021/acs.jmedchem.1c02090
MC-1495,Log Pe,PAMPA,-5.955,,-5.955,Non,10.1021/acs.jmedchem.1c02090
MC-1496,Log Pe,PAMPA,-5.475,,-5.475,Non,10.1021/acs.jmedchem.1c02090
MC-1496,Log Pe,PAMPA,-6.292,,-6.292,Non,10.1021/acs.jmedchem.1c02090
MC-1497,Log Pe,PAMPA,-5.536,,-5.536,Non,10.1021/acs.jmedchem.1c02090
MC-1498,Log Pe,PAMPA,-6.585,,-6.585,Non,10.1021/acs.jmedchem.1c02090
MC-1499,Log Pe,PAMPA,-6.222,,-6.222,Non,10.1021/acs.jmedchem.1c02090
MC-1499,Log Pe,PAMPA,-6.745,,-6.745,Non,10.1021/acs.jmedchem.1c02090
MC-1500,Log Pe,PAMPA,-6.569,,-6.569,Non,10.1021/acs.jmedchem.1c02090
